keyword,category
物业管理服务,服务
详见附件,未分类
详见合同,未分类
装修工程,工程
房屋修缮,工程
其他服务,服务
其他建筑物、构筑物修缮,工程
其他建筑工程,工程
详见合同文本。,未分类
修缮工程,工程
无无,未分类
无,未分类
安全服务,服务
触控一体机,货物
其他不另分类的物品,未分类
保安服务,服务
台式计算机,货物
见附件,未分类
物业服务,服务
详见合同附件,未分类
详见招标文件,未分类
服务,服务
电梯,货物
LED显示屏,货物
空调机,货物
/,未分类
详见附件。,未分类
1,未分类
工程,工程
餐饮服务,服务
审计服务,服务
彩色多普勒超声诊断仪,货物
教学专用仪器,货物
其他专业技术服务,服务
运行维护服务,服务
见合同,未分类
见附件合同,未分类
智慧黑板,货物
其他运行维护服务,服务
服务器,货物
法律服务,服务
园林绿化管理服务,服务
医疗设备,货物
城市规划和设计服务,服务
详见中标公告,未分类
其他系统集成实施服务,服务
城镇公共卫生服务,服务
工程设计服务,服务
互联网接入服务,服务
印刷服务,服务
货物,货物
行业应用软件开发服务,服务
测绘服务,服务
物业管理,服务
麻醉机,货物
图书,货物
台、桌类,货物
有机肥,货物
安保服务,服务
//,未分类
详见采购合同,未分类
办公家具,货物
信息系统集成（货物类）,货物
软件开发服务,服务
农林牧副渔服务,服务
视频会议会议室终端,货物
呼吸机,货物
医疗设备维修和保养服务,服务
全自动生化分析仪,货物
其他医疗设备,货物
硬件集成实施服务,服务
资产及其他评估服务,服务
其他计算机设备及软件,货物
工程施工,工程
软件运维服务,服务
施工,工程
蔬菜,货物
工程造价咨询服务,服务
抢险救援消防车,货物
车辆维修和保养服务,服务
详见成交公告,未分类
文化艺术服务,服务
其他货物,货物
体检服务,服务
"""物业管理服务,采购数量1;""",服务
网络接入服务,服务
保洁服务,服务
视频监控设备,货物
轿车,货物
资产评估服务,服务
血液透析机,货物
泡沫消防车,货物
车辆加油、添加燃料服务,服务
车辆加油服务,服务
有创呼吸机,货物
其他信息技术服务,服务
详见文件,未分类
办公桌,货物
农林牧渔业产品,货物
猪肉,货物
广告服务,服务
医疗卫生服务,服务
大米,货物
文物保护建筑修缮,工程
技术服务,服务
工程监理服务,服务
手术显微镜,货物
苗木,货物
流式细胞仪,货物
空调,货物
家具,货物
LED 显示屏,货物
柜类,货物
运维服务,服务
其他印刷服务,服务
农副食品，动、植物油制品,货物
组合家具,货物
劳务派遣服务,服务
计算机,货物
其他法律服务,服务
社会服务,服务
制服,货物
彩色多普勒超声诊断系统,货物
医用超声波仪器及设备,货物
食材,货物
展览服务,服务
食材配送服务,服务
彩色超声诊断系统,货物
详见附件合同,未分类
生物有机肥,货物
专用家具,货物
硬件运维服务,服务
其他社会服务,服务
技术测试和分析服务,服务
其他数据处理服务,服务
超声诊断仪,货物
教学设备,货物
正压式消防空气呼吸器,货物
住宿和餐饮服务,服务
其他建筑物施工,工程
房屋租赁服务,服务
台式电脑,货物
压缩空气泡沫消防车,货物
市政公共设施管理服务,服务
其他专业施工,工程
消防员灭火防护服,货物
消防车,货物
乘用车,货物
架类,货物
食材配送,服务
基础环境运维服务,服务
乘用车（轿车）,货物
水罐消防车,货物
临床检验设备,货物
食堂食材配送服务,服务
柴油,货物
医用内窥镜,货物
软件开发,服务
荧光定量PCR仪,货物
厨房设备,货物
便携式计算机,货物
数据加工处理服务,服务
1000000,未分类
公路工程施工,工程
彩色多普勒超声系统,货物
彩超,货物
"物业服务,采购数量1;",服务
劳务派遣,服务
消防设备,货物
具体内容详见投标文件,未分类
医疗设备一批,货物
照明设备,货物
软件集成实施服务,服务
维修改造,工程
详见合同内容,未分类
交通管理设备,货物
越野车,货物
专用车辆,货物
水污染治理服务,服务
无创呼吸机,货物
肉类,货物
道路硬化,工程
详见采购文件,未分类
其他专用仪器仪表,货物
图形工作站,货物
电脑,货物
运营服务,服务
电感耦合等离子体质谱仪,货物
环保监测设备,货物
太阳能路灯,货物
椅凳类,货物
核心交换机,货物
详见供货合同,未分类
专业技能培训服务,服务
600000,未分类
清扫服务,服务
X射线计算机体层摄影设备,货物
详见合同文件,未分类
实时荧光定量PCR仪,货物
职业中介服务,服务
拆除工程,工程
复印机,货物
投影仪,货物
多功能一体机,货物
打印机,货物
液晶显示器,货物
扫描仪,货物
碎纸机,货物
不间断电源UPS,货物
视频会议系统设备,货物
书籍课本,货物
家具用具,货物
复印纸,货物
人用疫苗,货物
基础软件,货物
应用软件,货物
培训服务,服务
云计算服务,服务
财产保险服务,服务
预算绩效评价咨询服务,服务
一般会议服务,服务
会计服务,服务
车辆及其他运输机械租赁服务,服务
车辆加油添加燃料服务,服务
采购,货物
改建,工程
建设,工程
扩建项目,工程
服务项目,服务
防水工程,工程
建设工程,工程
惠民工程项目,工程
工程项目,工程
显微镜,货物
公园建设,工程
设备购置,货物
配件采购,货物
